dataset,ablation_variant,n_runs,accuracy_mean,accuracy_std,accuracy_ci95_halfwidth,accuracy_mean_std,f1_macro_mean,f1_macro_std,f1_macro_ci95_halfwidth,f1_macro_mean_std,auc_mean,auc_std,auc_ci95_halfwidth,auc_mean_std,fpr_macro_mean,fpr_macro_std,fpr_macro_ci95_halfwidth,fpr_macro_mean_std,fpr_attack_positive_mean,fpr_attack_positive_std,fpr_attack_positive_ci95_halfwidth,fpr_attack_positive_mean_std
cic_ids2017,full,6,0.9032983078205832,0.010345425790847823,0.010856858534814806,0.9033 ± 0.0103,0.772089493788816,0.016566344607129968,0.01738531245352083,0.7721 ± 0.0166,0.8478334688632202,0.05978562570940614,0.06274116637293245,0.8478 ± 0.0598,0.25969074900651284,0.008430659838747008,0.008847434902620844,0.2597 ± 0.0084,0.033206382805652364,0.011938851633293602,0.01252905640340869,0.0332 ± 0.0119
cic_ids2017,no_attention,5,0.9088703270174248,0.006929116239658644,0.008603634174153184,0.9089 ± 0.0069,0.780429552054775,0.012639966677235904,0.01569459156161908,0.7804 ± 0.0126,0.8733913444298022,0.01613418850646703,0.02003324100871307,0.8734 ± 0.0161,0.2565279619001958,0.012145890325277032,0.015081114743027898,0.2565 ± 0.0121,0.026695804051997618,0.009040511339514383,0.011225277455627897,0.0267 ± 0.0090
cic_ids2017,no_focal_loss,5,0.9065712325569881,0.004677634001352088,0.005808049736252705,0.9066 ± 0.0047,0.7736671782594678,0.007060489567065142,0.008766755705118067,0.7737 ± 0.0071,0.8561442470900953,0.04714372228219112,0.05853666269911331,0.8561 ± 0.0471,0.2635026295919224,0.0061168585720823235,0.007595083071058706,0.2635 ± 0.0061,0.027173445130227115,0.006785212631097205,0.008424954244190838,0.0272 ± 0.0068
cic_ids2017,no_multiscale,5,0.9082526457739523,0.007646552433898407,0.00949444886754902,0.9083 ± 0.0076,0.7734640154198575,0.017276931591902904,0.021452143957095084,0.7735 ± 0.0173,0.8775206765635257,0.015329295508533293,0.019033834350772452,0.8775 ± 0.0153,0.26756150078857277,0.014493385526952583,0.017995915020904512,0.2676 ± 0.0145,0.023255801200409095,0.00717710119477808,0.008911548165021163,0.0233 ± 0.0072
nsl_kdd,full,5,0.7602467930223268,0.005050459795790274,0.006270974102808318,0.7602 ± 0.0051,0.7598457496498081,0.00515342360932957,0.006398820563197826,0.7598 ± 0.0052,0.8943777075633882,0.005852535293544888,0.007266882372211585,0.8944 ± 0.0059,0.21917315083805705,0.004471511337897562,0.005552114645827349,0.2192 ± 0.0045,0.07052035033487891,0.0007086552854837439,0.0008799117551219753,0.0705 ± 0.0007
nsl_kdd,no_attention,5,0.754005947889387,0.005417061419727183,0.006726170140933812,0.7540 ± 0.0054,0.7534450704688231,0.005568867312805372,0.00691466205308417,0.7534 ± 0.0056,0.8927064650161679,0.017541232132896975,0.0217803164235532,0.8927 ± 0.0175,0.22458488929341974,0.00471442821823827,0.005853735790702378,0.2246 ± 0.0047,0.06994332818134981,0.0017927125993446133,0.0022259466937324954,0.0699 ± 0.0018
nsl_kdd,no_focal_loss,5,0.7562785742820365,0.0066807874897953454,0.008295293305728977,0.7563 ± 0.0067,0.7557658306415574,0.0068603413188299215,0.008518238830980844,0.7558 ± 0.0069,0.8890294400664904,0.008141180793264103,0.010108611093863998,0.8890 ± 0.0081,0.22258362009922789,0.0056782903745832775,0.007050528729467023,0.2226 ± 0.0057,0.06990211231324059,0.0025076985370819835,0.0031137189918429456,0.0699 ± 0.0025
nsl_kdd,no_multiscale,5,0.7508899640463403,0.004801972576146447,0.005962436468162827,0.7509 ± 0.0048,0.7501980291307258,0.0049617924040985415,0.006160878994730062,0.7502 ± 0.0050,0.8996781464622459,0.010772583516230186,0.013375929119746336,0.8997 ± 0.0108,0.227056299480977,0.004127002533016241,0.005124350465742007,0.2271 ± 0.0041,0.06775888717156105,0.0021865299665419532,0.002714935540448824,0.0678 ± 0.0022
unsw_nb15,full,5,0.9152422950301882,0.01649419384544774,0.02048024667728656,0.9152 ± 0.0165,0.9151218480253671,0.016384861052882723,0.0203444920849355,0.9151 ± 0.0164,0.9911403251913949,0.0029746855589482014,0.0036935599645226227,0.9911 ± 0.0030,0.07876067486704463,0.014187385768354755,0.017615966137194548,0.0788 ± 0.0142,0.019618764363931323,0.010524180542780006,0.013067496090566483,0.0196 ± 0.0105
unsw_nb15,no_attention,5,0.9139788864997509,0.012864418518661653,0.015973285332447972,0.9140 ± 0.0129,0.9138423608865314,0.012761952066412712,0.0158460564276668,0.9138 ± 0.0128,0.9874240408895117,0.00141038806671791,0.0017512280859398374,0.9874 ± 0.0014,0.08039964481297142,0.011002910752177809,0.013661918156428284,0.0804 ± 0.0110,0.02496147086656753,0.009429213040008056,0.011707914363171472,0.0250 ± 0.0094
