family,dataset,metric,comparison_a,comparison_b,n_pairs,mean_a,mean_b,mean_difference_a_minus_b,median_difference_a_minus_b,wins_a,ties,wins_b,exact_two_sided_can_reach_0_05,wilcoxon_statistic,p_value,p_holm,significant_0_05_holm
ablation,cic_ids2017,accuracy,full,no_multiscale,5,0.9031456949739136,0.9082526457739523,-0.005106950800038645,-0.003552845930965831,2,0,3,False,5.0,0.625,1.0,False
ablation,cic_ids2017,f1_macro,full,no_multiscale,5,0.7713424894732908,0.7734640154198575,-0.0021215259465665825,-0.008775124698793046,2,0,3,False,6.0,0.8125,1.0,False
ablation,cic_ids2017,auc,full,no_multiscale,5,0.848043297125721,0.8775206765635257,-0.029477379437804818,-0.01828212044373201,2,0,3,False,4.0,0.4375,1.0,False
ablation,cic_ids2017,accuracy,full,no_attention,5,0.9031456949739136,0.9088703270174248,-0.005724632043511169,0.003380743905112893,3,0,2,False,6.0,0.8125,1.0,False
ablation,cic_ids2017,f1_macro,full,no_attention,5,0.7713424894732908,0.780429552054775,-0.009087062581484173,-0.0035072546317967968,2,0,3,False,4.0,0.4375,1.0,False
ablation,cic_ids2017,auc,full,no_attention,5,0.848043297125721,0.8733913444298022,-0.025348047304081224,0.014986580465524146,3,0,2,False,6.0,0.8125,1.0,False
ablation,cic_ids2017,accuracy,full,no_focal_loss,5,0.9031456949739136,0.9065712325569881,-0.0034255375830746005,-0.004990958749737762,2,0,3,False,6.0,0.8125,1.0,False
ablation,cic_ids2017,f1_macro,full,no_focal_loss,5,0.7713424894732908,0.7736671782594678,-0.002324688786176932,-0.0050704149085296635,2,0,3,False,7.0,1.0,1.0,False
ablation,cic_ids2017,auc,full,no_focal_loss,5,0.848043297125721,0.8561442470900953,-0.008100949964374382,-0.00979598468034415,2,0,3,False,7.0,1.0,1.0,False
ablation,nsl_kdd,accuracy,full,no_multiscale,5,0.7602467930223268,0.7508899640463403,0.009356828975986508,0.009676417062452813,5,0,0,False,0.0,0.0625,0.1875,False
ablation,nsl_kdd,f1_macro,full,no_multiscale,5,0.7598457496498081,0.7501980291307258,0.009647720519082404,0.009874224535329934,5,0,0,False,0.0,0.0625,0.1875,False
ablation,nsl_kdd,auc,full,no_multiscale,5,0.8943777075633882,0.8996781464622459,-0.005300438898857496,-0.005950850302257171,2,0,3,False,4.0,0.4375,1.0,False
ablation,nsl_kdd,accuracy,full,no_attention,5,0.7602467930223268,0.754005947889387,0.006240845132939765,0.006880021305872397,4,0,1,False,2.0,0.1875,0.375,False
ablation,nsl_kdd,f1_macro,full,no_attention,5,0.7598457496498081,0.7534450704688231,0.006400679180984903,0.0070259148588794895,4,0,1,False,2.0,0.1875,0.375,False
ablation,nsl_kdd,auc,full,no_attention,5,0.8943777075633882,0.8927064650161679,0.0016712425472204195,0.0034925217496947214,3,0,2,False,7.0,1.0,1.0,False
ablation,nsl_kdd,accuracy,full,no_focal_loss,5,0.7602467930223268,0.7562785742820365,0.003968218740290297,0.003950463846597696,4,0,1,False,3.0,0.3125,0.375,False
ablation,nsl_kdd,f1_macro,full,no_focal_loss,5,0.7598457496498081,0.7557658306415574,0.004079919008250577,0.004061336761737366,4,0,1,False,3.0,0.3125,0.375,False
ablation,nsl_kdd,auc,full,no_focal_loss,5,0.8943777075633882,0.8890294400664904,0.00534826749689774,0.009522648479490026,4,0,1,False,5.0,0.625,1.0,False
ablation,unsw_nb15,accuracy,full,no_multiscale,5,0.9152422950301882,0.9198756028523876,-0.00463330782219955,-0.005187263870160441,2,0,3,False,5.0,0.625,1.0,False
ablation,unsw_nb15,f1_macro,full,no_multiscale,5,0.9151218480253671,0.9196925308598697,-0.00457068283450246,-0.005191023682880158,2,0,3,False,5.0,0.625,1.0,False
ablation,unsw_nb15,auc,full,no_multiscale,5,0.9911403251913949,0.9897097672472478,0.0014305579441470817,0.0014584054856314754,3,0,2,False,5.0,0.625,0.625,False
ablation,unsw_nb15,accuracy,full,no_attention,5,0.9152422950301882,0.9139788864997509,0.0012634085304372266,-0.0023688909945698278,2,0,3,False,7.0,1.0,1.0,False
ablation,unsw_nb15,f1_macro,full,no_attention,5,0.9151218480253671,0.9138423608865314,0.0012794871388358553,-0.0023756686293037177,2,0,3,False,7.0,1.0,1.0,False
ablation,unsw_nb15,auc,full,no_attention,5,0.9911403251913949,0.9874240408895117,0.003716284301883066,0.002832572535523159,5,0,0,False,0.0,0.0625,0.1875,False
ablation,unsw_nb15,accuracy,full,no_focal_loss,5,0.9152422950301882,0.9285275216540934,-0.013285226623905144,-0.014091864377953511,1,0,4,False,2.0,0.1875,0.5625,False
ablation,unsw_nb15,f1_macro,full,no_focal_loss,5,0.9151218480253671,0.9282335936517061,-0.01311174562633879,-0.013910571366510416,1,0,4,False,2.0,0.1875,0.5625,False
ablation,unsw_nb15,auc,full,no_focal_loss,5,0.9911403251913949,0.9884195586027522,0.0027207665886427534,0.000546801146283693,5,0,0,False,0.0,0.0625,0.1875,False
