sensitivity_parameter,sensitivity_value,n_runs,accuracy_mean,accuracy_std,accuracy_ci95_halfwidth,accuracy_mean_std,f1_macro_mean,f1_macro_std,f1_macro_ci95_halfwidth,f1_macro_mean_std,auc_mean,auc_std,auc_ci95_halfwidth,auc_mean_std,fpr_macro_mean,fpr_macro_std,fpr_macro_ci95_halfwidth,fpr_macro_mean_std,fpr_attack_positive_mean,fpr_attack_positive_std,fpr_attack_positive_ci95_halfwidth,fpr_attack_positive_mean_std
dropout,0p0,1,0.9469003972447976,0.0,0.0,0.9469 ± 0.0000,0.9466027341015857,0.0,0.0,0.9466 ± 0.0000,0.9922797841078779,0.0,0.0,0.9923 ± 0.0000,0.050911821743097094,0.0,0.0,0.0509 ± 0.0000,0.029336217385426525,0.0,0.0,0.0293 ± 0.0000
dropout,0p1,5,0.9152422950301882,0.01649419384544774,0.02048024667728656,0.9152 ± 0.0165,0.9151218480253671,0.016384861052882723,0.0203444920849355,0.9151 ± 0.0164,0.9911403251913949,0.0029746855589482014,0.0036935599645226227,0.9911 ± 0.0030,0.07876067486704463,0.014187385768354755,0.017615966137194548,0.0788 ± 0.0142,0.019618764363931323,0.010524180542780006,0.013067496090566483,0.0196 ± 0.0105
dropout,0p3,1,0.9485403987025767,0.0,0.0,0.9485 ± 0.0000,0.9481993795429917,0.0,0.0,0.9482 ± 0.0000,0.9911983039382191,0.0,0.0,0.9912 ± 0.0000,0.04991816970592734,0.0,0.0,0.0499 ± 0.0000,0.03471677707178586,0.0,0.0,0.0347 ± 0.0000
focal_gamma,1p0,1,0.936367943438172,0.0,0.0,0.9364 ± 0.0000,0.9361305062193644,0.0,0.0,0.9361 ± 0.0000,0.991641281225128,0.0,0.0,0.9916 ± 0.0000,0.06015099945901358,0.0,0.0,0.0602 ± 0.0000,0.025821278896850073,0.0,0.0,0.0258 ± 0.0000
focal_gamma,2p0,5,0.9152422950301882,0.01649419384544774,0.02048024667728656,0.9152 ± 0.0165,0.9151218480253671,0.016384861052882723,0.0203444920849355,0.9151 ± 0.0164,0.9911403251913949,0.0029746855589482014,0.0036935599645226227,0.9911 ± 0.0030,0.07876067486704463,0.014187385768354755,0.017615966137194548,0.0788 ± 0.0142,0.019618764363931323,0.010524180542780006,0.013067496090566483,0.0196 ± 0.0105
focal_gamma,3p0,1,0.8541127592113416,0.0,0.0,0.8541 ± 0.0000,0.8538889101985607,0.0,0.0,0.8539 ± 0.0000,0.9876003878960042,0.0,0.0,0.9876 ± 0.0000,0.1330037384140353,0.0,0.0,0.1330 ± 0.0000,0.0059483574422063,0.0,0.0,0.0059 ± 0.0000
hidden_channels,128,1,0.9288846775271208,0.0,0.0,0.9289 ± 0.0000,0.9286563339347209,0.0,0.0,0.9287 ± 0.0000,0.9893246808509978,0.0,0.0,0.9893 ± 0.0000,0.06726145270724092,0.0,0.0,0.0673 ± 0.0000,0.029255103420305528,0.0,0.0,0.0293 ± 0.0000
hidden_channels,32,1,0.9427214305671976,0.0,0.0,0.9427 ± 0.0000,0.9424712893552342,0.0,0.0,0.9425 ± 0.0000,0.992497185769601,0.0,0.0,0.9925 ± 0.0000,0.054240559735744875,0.0,0.0,0.0542 ± 0.0000,0.02428011355955117,0.0,0.0,0.0243 ± 0.0000
hidden_channels,64,5,0.9152422950301882,0.01649419384544774,0.02048024667728656,0.9152 ± 0.0165,0.9151218480253671,0.016384861052882723,0.0203444920849355,0.9151 ± 0.0164,0.9911403251913949,0.0029746855589482014,0.0036935599645226227,0.9911 ± 0.0030,0.07876067486704463,0.014187385768354755,0.017615966137194548,0.0788 ± 0.0142,0.019618764363931323,0.010524180542780006,0.013067496090566483,0.0196 ± 0.0105
learning_rate,0p0001,1,0.9579066292503371,0.0,0.0,0.9579 ± 0.0000,0.9573614540822557,0.0,0.0,0.9574 ± 0.0000,0.9913874067294673,0.0,0.0,0.9914 ± 0.0000,0.0437267638186863,0.0,0.0,0.0437 ± 0.0000,0.059835068270920645,0.0,0.0,0.0598 ± 0.0000
learning_rate,0p0005,5,0.9152422950301882,0.01649419384544774,0.02048024667728656,0.9152 ± 0.0165,0.9151218480253671,0.016384861052882723,0.0203444920849355,0.9151 ± 0.0164,0.9911403251913949,0.0029746855589482014,0.0036935599645226227,0.9911 ± 0.0030,0.07876067486704463,0.014187385768354755,0.017615966137194548,0.0788 ± 0.0142,0.019618764363931323,0.010524180542780006,0.013067496090566483,0.0196 ± 0.0105
learning_rate,0p001,1,0.9286903069839766,0.0,0.0,0.9287 ± 0.0000,0.928463896896955,0.0,0.0,0.9285 ± 0.0000,0.9902129078755281,0.0,0.0,0.9902 ± 0.0000,0.06742548219584968,0.0,0.0,0.0674 ± 0.0000,0.029119913478437204,0.0,0.0,0.0291 ± 0.0000
