dataset,model,variant,n_runs,accuracy_mean,accuracy_std,accuracy_ci95_halfwidth,accuracy_mean_std,f1_macro_mean,f1_macro_std,f1_macro_ci95_halfwidth,f1_macro_mean_std,auc_mean,auc_std,auc_ci95_halfwidth,auc_mean_std,fpr_macro_mean,fpr_macro_std,fpr_macro_ci95_halfwidth,fpr_macro_mean_std,fpr_attack_positive_mean,fpr_attack_positive_std,fpr_attack_positive_ci95_halfwidth,fpr_attack_positive_mean_std
cic_ids2017,cnn,full,1,0.9051764988789792,0.0,0.0,0.9052 ± 0.0000,0.7530264328883559,0.0,0.0,0.7530 ± 0.0000,0.7151492787418166,0.0,0.0,0.7151 ± 0.0000,0.2940788325183218,0.0,0.0,0.2941 ± 0.0000,0.017200014257942632,0.0,0.0,0.0172 ± 0.0000
cic_ids2017,gru,full,1,0.9110774765599399,0.0,0.0,0.9111 ± 0.0000,0.7655452394394036,0.0,0.0,0.7655 ± 0.0000,0.8513055032044894,0.0,0.0,0.8513 ± 0.0000,0.28626948130756047,0.0,0.0,0.2863 ± 0.0000,0.012042477701400295,0.0,0.0,0.0120 ± 0.0000
cic_ids2017,lightgbm,full,5,0.86528089172425,0.0017786907691282833,0.0022085362919639527,0.8653 ± 0.0018,0.5013354106839228,0.012028288665035735,0.014935092995377285,0.5013 ± 0.0120,0.9698433489342178,0.024586344208359413,0.030527978450965505,0.9698 ± 0.0246,0.4803936659309819,0.00627709355174026,0.007794041076552878,0.4804 ± 0.0063,5.5386623307897525e-05,3.258148447669336e-05,4.045525628274495e-05,0.0001 ± 0.0000
cic_ids2017,lstm,full,1,0.9170656840348259,0.0,0.0,0.9171 ± 0.0000,0.7843603487631741,0.0,0.0,0.7844 ± 0.0000,0.8728331805915361,0.0,0.0,0.8728 ± 0.0000,0.26879503051275283,0.0,0.0,0.2688 ± 0.0000,0.010528942252590422,0.0,0.0,0.0105 ± 0.0000
cic_ids2017,mlp,full,5,0.9193902401648408,0.001836085267433628,0.0022798009742046664,0.9194 ± 0.0018,0.7934494039953152,0.003316625241996172,0.0041181341585204935,0.7934 ± 0.0033,0.8495876898851945,0.014608999844754285,0.018139469156995772,0.8496 ± 0.0146,0.2585904421916768,0.002017189083845659,0.002504671062980789,0.2586 ± 0.0020,0.011274193946406589,0.002233149250822987,0.002772821027362611,0.0113 ± 0.0022
cic_ids2017,ms_atcn,full,6,0.9032983078205832,0.010345425790847823,0.010856858534814806,0.9033 ± 0.0103,0.772089493788816,0.016566344607129968,0.01738531245352083,0.7721 ± 0.0166,0.8478334688632202,0.05978562570940614,0.06274116637293245,0.8478 ± 0.0598,0.25969074900651284,0.008430659838747008,0.008847434902620844,0.2597 ± 0.0084,0.033206382805652364,0.011938851633293602,0.01252905640340869,0.0332 ± 0.0119
cic_ids2017,tcn,full,1,0.9174853300704675,0.0,0.0,0.9175 ± 0.0000,0.7877139717536298,0.0,0.0,0.7877 ± 0.0000,0.891598378042437,0.0,0.0,0.8916 ± 0.0000,0.26401830854571445,0.0,0.0,0.2640 ± 0.0000,0.011806673265534988,0.0,0.0,0.0118 ± 0.0000
cic_ids2017,xgboost,full,5,0.8629945280986027,0.00017404013847570996,0.00021609937418768678,0.8630 ± 0.0002,0.4854422638096649,0.00121468901015132,0.0015082356129186606,0.4854 ± 0.0012,0.9728752086320889,0.0024648492028035607,0.0030605145161224294,0.9729 ± 0.0025,0.48859123251884046,0.0006140937597629293,0.0007624981130192206,0.4886 ± 0.0006,3.8935151038224997e-05,1.1856986425034564e-05,1.472239317115617e-05,0.0000 ± 0.0000
nsl_kdd,cnn,full,1,0.7764658884104931,0.0,0.0,0.7765 ± 0.0000,0.7764032754400614,0.0,0.0,0.7764 ± 0.0000,0.9025453024227179,0.0,0.0,0.9025 ± 0.0000,0.20599903163279307,0.0,0.0,0.2060 ± 0.0000,0.07934054611025243,0.0,0.0,0.0793 ± 0.0000
nsl_kdd,gru,full,5,0.7618447334546585,0.003984307528765066,0.00494717121623979,0.7618 ± 0.0040,0.7614474732465325,0.004070431726014059,0.0050541085313380646,0.7614 ± 0.0041,0.9161571152491963,0.0037189773520611164,0.004617720288189454,0.9162 ± 0.0037,0.2175414786096265,0.0034759480943164847,0.004315959608337761,0.2175 ± 0.0035,0.06864502833590931,0.0012308820739015303,0.0015283419571979152,0.0686 ± 0.0012
nsl_kdd,lightgbm,full,5,0.7897554263393849,0.00028178028759561955,0.0003498764385109835,0.7898 ± 0.0003,0.7892569910056152,0.0002906037031106047,0.00036083215589713304,0.7893 ± 0.0003,0.9647752475314351,0.0009289882379577379,0.0011534912498268747,0.9648 ± 0.0009,0.1879476127161109,0.0002325196515849714,0.0002887112802479418,0.1879 ± 0.0002,0.026893353941267385,0.0002416494466678735,0.00030004741811335905,0.0269 ± 0.0002
nsl_kdd,lstm,full,1,0.7654578543210973,0.0,0.0,0.7655 ± 0.0000,0.7651018995146819,0.0,0.0,0.7651 ± 0.0000,0.9097007261629164,0.0,0.0,0.9097 ± 0.0000,0.21408956609242777,0.0,0.0,0.2141 ± 0.0000,0.06635754765584749,0.0,0.0,0.0664 ± 0.0000
