family,dataset,metric,comparison_a,comparison_b,n_pairs,mean_a,mean_b,mean_difference_a_minus_b,median_difference_a_minus_b,wins_a,ties,wins_b,exact_two_sided_can_reach_0_05,wilcoxon_statistic,p_value,p_holm,significant_0_05_holm
main,cic_ids2017,accuracy,ms_atcn,lightgbm,5,0.9031456949739136,0.86528089172425,0.03786480324966346,0.035931602411314434,5,0,0,False,0.0,0.0625,0.1875,False
main,cic_ids2017,f1_macro,ms_atcn,lightgbm,5,0.7713424894732908,0.5013354106839228,0.270007078789368,0.25445849233131784,5,0,0,False,0.0,0.0625,0.1875,False
main,cic_ids2017,auc,ms_atcn,lightgbm,5,0.848043297125721,0.9698433489342178,-0.1218000518084968,-0.10052601207654266,0,0,5,False,0.0,0.0625,0.1875,False
main,cic_ids2017,accuracy,ms_atcn,mlp,5,0.9031456949739136,0.9193902401648408,-0.016244545190927127,-0.018294681104376376,0,0,5,False,0.0,0.0625,0.1875,False
main,cic_ids2017,f1_macro,ms_atcn,mlp,5,0.7713424894732908,0.7934494039953152,-0.022106914522024335,-0.030493139710514705,1,0,4,False,1.0,0.125,0.1875,False
main,cic_ids2017,auc,ms_atcn,mlp,5,0.848043297125721,0.8495876898851945,-0.0015443927594735785,0.03803285791608846,3,0,2,False,7.0,1.0,1.0,False
main,cic_ids2017,accuracy,ms_atcn,xgboost,5,0.9031456949739136,0.8629945280986027,0.04015116687531091,0.040311952603573564,5,0,0,False,0.0,0.0625,0.1875,False
main,cic_ids2017,f1_macro,ms_atcn,xgboost,5,0.7713424894732908,0.4854422638096649,0.285900225663626,0.2824134562433019,5,0,0,False,0.0,0.0625,0.1875,False
main,cic_ids2017,auc,ms_atcn,xgboost,5,0.848043297125721,0.9728752086320889,-0.12483191150636797,-0.09722780768272754,0,0,5,False,0.0,0.0625,0.1875,False
main,nsl_kdd,accuracy,ms_atcn,gru,5,0.7602467930223268,0.7618447334546585,-0.001597940432331657,-0.0018642638377203147,2,0,3,False,5.0,0.625,0.625,False
main,nsl_kdd,f1_macro,ms_atcn,gru,5,0.7598457496498081,0.7614474732465325,-0.0016017235967243693,-0.0019030230293433092,2,0,3,False,5.0,0.625,0.625,False
main,nsl_kdd,auc,ms_atcn,gru,5,0.8943777075633882,0.9161571152491963,-0.021779407685808015,-0.02176406502748085,0,0,5,False,0.0,0.0625,0.1875,False
main,nsl_kdd,accuracy,ms_atcn,lightgbm,5,0.7602467930223268,0.7897554263393849,-0.029508633317058042,-0.028940476718895658,0,0,5,False,0.0,0.0625,0.1875,False
main,nsl_kdd,f1_macro,ms_atcn,lightgbm,5,0.7598457496498081,0.7892569910056152,-0.029411241355807128,-0.02881003792971215,0,0,5,False,0.0,0.0625,0.1875,False
main,nsl_kdd,auc,ms_atcn,lightgbm,5,0.8943777075633882,0.9647752475314351,-0.07039753996804676,-0.06872535894348031,0,0,5,False,0.0,0.0625,0.1875,False
main,nsl_kdd,accuracy,ms_atcn,xgboost,5,0.7602467930223268,0.790873984642017,-0.030627191619690186,-0.029783834169292978,0,0,5,False,0.0,0.0625,0.1875,False
main,nsl_kdd,f1_macro,ms_atcn,xgboost,5,0.7598457496498081,0.7903970740677202,-0.030551324417912105,-0.02967620309919128,0,0,5,False,0.0,0.0625,0.1875,False
main,nsl_kdd,auc,ms_atcn,xgboost,5,0.8943777075633882,0.9665419391705982,-0.07216423160720993,-0.07170754747907948,0,0,5,False,0.0,0.0625,0.1875,False
main,unsw_nb15,accuracy,ms_atcn,cnn,5,0.9152422950301882,0.9276577134735231,-0.01241541844333489,-0.0016764459346185756,1,0,4,False,2.0,0.1875,0.1875,False
main,unsw_nb15,f1_macro,ms_atcn,cnn,5,0.9151218480253671,0.9272705027188335,-0.01214865469346631,-0.0014030821732361476,1,0,4,False,2.0,0.1875,0.1875,False
main,unsw_nb15,auc,ms_atcn,cnn,5,0.9911403251913949,0.9855010706702231,0.005639254521171866,0.006122201711051267,5,0,0,False,0.0,0.0625,0.1875,False
main,unsw_nb15,accuracy,ms_atcn,lightgbm,5,0.9152422950301882,0.986459662038218,-0.07121736700802994,-0.07007058080347928,0,0,5,False,0.0,0.0625,0.1875,False
main,unsw_nb15,f1_macro,ms_atcn,lightgbm,5,0.9151218480253671,0.986287192872307,-0.07116534484693975,-0.07001796795153414,0,0,5,False,0.0,0.0625,0.1875,False
main,unsw_nb15,auc,ms_atcn,lightgbm,5,0.9911403251913949,0.9993903223493404,-0.008249997157945521,-0.009929010548358264,0,0,5,False,0.0,0.0625,0.1875,False
main,unsw_nb15,accuracy,ms_atcn,xgboost,5,0.9152422950301882,0.9866661807403088,-0.07142388571012064,-0.07058080347923268,0,0,5,False,0.0,0.0625,0.1875,False
main,unsw_nb15,f1_macro,ms_atcn,xgboost,5,0.9151218480253671,0.9864960434439967,-0.07137419541862937,-0.07053438716363558,0,0,5,False,0.0,0.0625,0.1875,False
main,unsw_nb15,auc,ms_atcn,xgboost,5,0.9911403251913949,0.9993933125604697,-0.008252987369074783,-0.009901051949046225,0,0,5,False,0.0,0.0625,0.1875,False
